V0000330143	それはとってもいい話だ。	それ	それはとってもいい 話[はなし]だ。	
V0000332600	昨日は遅くまで残業しました。	残業	昨日[きのう]は 遅[おそ]くまで 残業[ざんぎょう]しました。	
V0000332601	今年も残暑が厳しかった。	残暑	今年[ことし]も 残暑[ざんしょ]が 厳[きび]しかった。	
V0000332602	彼は支店に転勤したよ。	支店	彼[かれ]は 支店[してん]に 転勤[てんきん]したよ。	
V0000332603	彼は国民の支持を得たのよ。	支持	彼[かれ]は 国民[こくみん]の 支持[しじ]を 得[え]たのよ。	
V0000332604	今月のわが家の支出は15万円です。	支出	今月[こんげつ]のわが 家[や]の 支出[ししゅつ]は 15万円[じゅうごまんえん]です。	
V0000332605	今そこで隣のおじさんに会ったよ。	おじさん	今[いま]そこで 隣[となり]のおじさんに 会[あ]ったよ。	
V0000332606	その権力者による支配は50年以上続いたんです。	支配	その 権力者[けんりょくしゃ]による 支配[しはい]は 50年以上続[ごじゅうねん いじょう つづ]いたんです。	
V0000332607	家計の収支が合わないの。	収支	家計[かけい]の 収支[しゅうし]が 合[あ]わないの。	
V0000332608	支度ができたら出かけましょう。	支度	支度[したく]ができたら 出[で]かけましょう。	
V0000332609	父親には一家を支える責任がある。	支える	父親[ちちおや]には 一家[いっか]を 支[ささ]える 責任[せきにん]がある。	
V0000332610	来月大阪に支社を開設します。	支社	来月大阪[らいげつ おおさか]に 支社[ししゃ]を 開設[かいせつ]します。	
V0000332611	カウンターで料金を支払った。	支払う	カウンターで 料金[りょうきん]を 支払[しはら]った。	
V0000332612	お支払いはカードもお使いいただけます。	支払い	お 支払[しはら]いはカードもお 使[つか]いいただけます。	
V0000332613	来年のコンクールに出場するつもりです。	コンクール	来年[らいねん]のコンクールに 出場[しゅつじょう]するつもりです。	
V0000332614	彼女は負けずに言い返したの。	言い返す	彼女[かのじょ]は 負[ま]けずに 言[い]い 返[かえ]したの。	
V0000332615	もう一度原点に返って考えましょう。	返る	もう 一度原点[いちど げんてん]に 返[かえ]って 考[かんが]えましょう。	
V0000332616	この借りは必ず返します。	借り	この 借[か]りは 必[かなら]ず 返[かえ]します。	
V0000332617	彼は友達に借金をしたんだ。	借金	彼[かれ]は 友達[ともだち]に 借金[しゃっきん]をしたんだ。	
V0000332618	その本は貸し出ししていません。	貸し出し	その 本[ほん]は 貸[か]し 出[だ]ししていません。	
V0000332619	彼には貸しがあるの。	貸し	彼[かれ]には 貸[か]しがあるの。	
V0000332620	これからパスポートの申請に行きます。	申請	これからパスポートの 申請[しんせい]に 行[い]きます。	
V0000332621	彼はアマチュア音楽家です。	アマチュア	彼[かれ]はアマチュア 音楽家[おんがくか]です。	
V0000332622	彼は感情を込めてその歌を歌ったの。	込める	彼[かれ]は 感情[かんじょう]を 込[こ]めてその 歌[うた]を 歌[うた]ったの。	
V0000332623	彼は研究に打ち込んでいます。	打ち込む	彼[かれ]は 研究[けんきゅう]に 打[う]ち 込[こ]んでいます。	
V0000332624	彼は騙されたと思い込んでいるようです。	思い込む	彼[かれ]は 騙[だま]されたと 思[おも]い 込[こ]んでいるようです。	
V0000332625	鼻水は風邪の初期症状のひとつです。	初期	鼻水[はなみず]は 風邪[かぜ]の 初期[しょき] 症状[しょうじょう]のひとつです。	
V0000332626	新学期が始まったね。	学期	新[しん] 学期[がっき]が 始[はじ]まったね。	
V0000332627	後期の授業が始まりました。	後期	後期[こうき]の 授業[じゅぎょう]が 始[はじ]まりました。	
V0000332628	前期の売上はとても良かったわ。	前期	前期[ぜんき]の 売上[うりあげ]はとても 良[よ]かったわ。	
V0000332629	彼女は性格がきついよね。	きつい	彼女[かのじょ]は 性格[せいかく]がきついよね。	
V0000332630	代金を期日までにお支払いください。	期日	代金[だいきん]を 期日[きじつ]までにお 支払[しはら]いください。	
V0000332631	今日から新学期が始まります。	新学期	今日[きょう]から 新学期[しんがっき]が 始[はじ]まります。	
V0000332632	限りある資源を大切にしよう。	限り	限[かぎ]りある 資源[しげん]を 大切[たいせつ]にしよう。	
V0000332633	彼女は食事を制限しています。	制限	彼女[かのじょ]は 食事[しょくじ]を 制限[せいげん]しています。	
V0000332634	もう我慢の限界です。	限界	もう 我慢[がまん]の 限界[げんかい]です。	
V0000332635	期限までに申し込みました。	期限	期限[きげん]までに 申[もう]し 込[こ]みました。	
V0000332636	物事には限度があります。	限度	物事[ものごと]には 限度[げんど]があります。	
V0000332637	大急ぎでその仕事を仕上げたよ。	大急ぎ	大急[おおいそ]ぎでその 仕事[しごと]を 仕上[しあ]げたよ。	
P0000146973	バーゲンコーナーで
P0000146973	を買いました。	コーナー	バーゲンコーナーで 
P0000146973	[でぃーぶいでぃー]を 買[か]いました。	
V0000332638	彼は急用で帰りました。	急用	彼[かれ]は 急用[きゅうよう]で 帰[かえ]りました。	
V0000332639	私は一切その問題とは関係がありません。	一切	私[わたし]は 一切[いっさい]その 問題[もんだい]とは 関係[かんけい]がありません。	
V0000332640	フロアはパーティションで区切られています。	区切る	フロアはパーティションで 区切[くぎ]られています。	
V0000332641	思い切って彼に相談します。	思い切って	思[おも]い 切[き]って 彼[かれ]に 相談[そうだん]します。	
V0000332642	牛乳は品切れだったよ。	品切れ	牛乳[ぎゅうにゅう]は 品切[しなぎ]れだったよ。	
V0000332643	カラオケで思い切り歌ったの。	思い切り	カラオケで 思[おも]い 切[き]り 歌[うた]ったの。	
V0000332644	この包丁は切れが良いな。	切れ	この 包丁[ほうちょう]は 切[き]れが 良[い]いな。	
V0000332645	会社の始業時間にぎりぎりで間に合ったよ。	ぎりぎり	会社[かいしゃ]の 始業時間[しぎょうじかん]にぎりぎりで 間[ま]に 合[あ]ったよ。	
V0000332646	入場券をお持ちですか。	券	入場[にゅうじょう] 券[けん]をお 持[も]ちですか。	
V0000332647	バスの回数券を買いました。	回数券	バスの 回数券[かいすうけん]を 買[か]いました。	
V0000332648	私は彼と同じ世代です。	世代	私[わたし]は 彼[かれ]と 同[おな]じ 世代[せだい]です。	
V0000332649	ごま油の代わりにオリーブ油を使いましょう。	代わり	ごま 油[あぶら]の 代[か]わりにオリーブ 油[ゆ]を 使[つか]いましょう。	
V0000332650	近代の技術の発展はものすごいです。	近代	近代[きんだい]の 技術[ぎじゅつ]の 発展[はってん]はものすごいです。	
V0000332651	古代の歴史について勉強しました。	古代	古代[こだい]の 歴史[れきし]について 勉強[べんきょう]しました。	
V0000332652	皆が代わる代わる彼らを祝福したよ。	代わる代わる	皆[みな]が 代[か]わる 代[が]わる 彼[かれ]らを 祝福[しゅくふく]したよ。	
V0000332653	ウサギとカメの話を知っていますか。	ウサギ	ウサギとカメの 話[はなし]を 知[し]っていますか。	
V0000332654	時計が12時を指してる。	指す	時計[とけい]が 12時[じゅうにじ]を 指[さ]してる。	
V0000332655	小指を切ってしまいました。	小指	小指[こゆび]を 切[き]ってしまいました。	
V0000332656	彼は精神の安定が必要よ。	安定	彼[かれ]は 精神[せいしん]の 安定[あんてい]が 必要[ひつよう]よ。	
V0000332657	代金には規定の手数料が含まれます。	規定	代金[だいきん]には 規定[きてい]の 手数料[てすうりょう]が 含[ふく]まれます。	
V0000332658	税に関する新しい法律が定められたぞ。	定める	税[ぜい]に 関[かん]する 新[あたら]しい 法律[ほうりつ]が 定[さだ]められたぞ。	
V0000332659	指定された席にお座りください。	指定	指定[してい]された 席[せき]にお 座[すわ]りください。	
V0000332660	手の傷が悪化した。	悪化	手[て]の 傷[きず]が 悪化[あっか]した。	
V0000332661	彼は化学の教授です。	化学	彼[かれ]は 化学[かがく]の 教授[きょうじゅ]です。	
V0000332662	野球部はグラウンドで練習しています。	グラウンド	野球部[やきゅうぶ]はグラウンドで 練習[れんしゅう]しています。	
V0000332663	彼は消化不良を起こしたんだ。	消化	彼[かれ]は 消化[しょうか] 不良[ふりょう]を 起[お]こしたんだ。	
V0000332664	彼は更に質問を続けたの。	更に	彼[かれ]は 更[さら]に 質問[しつもん]を 続[つづ]けたの。	
V0000332665	今更後悔しても、もう遅いよ。	今更	今更[いまさら] 後悔[こうかい]しても、もう 遅[おそ]いよ。	
V0000332666	最近ヨガをやる人が急増しています。	急増	最近[さいきん]ヨガをやる 人[ひと]が 急増[きゅうぞう]しています。	
V0000332667	この国は人口が減少しているわね。	減少	この 国[くに]は 人口[じんこう]が 減少[げんしょう]しているわね。	
V0000332668	乗車券は無くさないように。	乗車券	乗車券[じょうしゃけん]は 無[な]くさないように。	
V0000332669	このバスの運賃は乗車するときに払います。	乗車	このバスの 運賃[うんちん]は 乗車[じょうしゃ]するときに 払[はら]います。	
V0000332670	彼女の言っていることがさっぱり分からないの。	さっぱり	彼女[かのじょ]の 言[い]っていることがさっぱり 分[わ]からないの。	
V0000332671	乗客の一人の具合が悪くなったの。	乗客	乗客[じょうきゃく]の 一人[いち にん]の 具合[ぐあい]が 悪[わる]くなったの。	
V0000332672	雨降りで月が見えなかったね。	雨降り	雨降[あめふ]りで 月[つき]が 見[み]えなかったね。	
V0000332673	これは税金の無駄遣いだね。	税金	これは 税金[ぜいきん]の 無駄遣[むだづか]いだね。	
V0000332674	これ以上税が上がると生活できないね。	税	これ 以上[いじょう] 税[ぜい]が 上[あ]がると 生活[せいかつ]できないね。	
V0000332675	私立の大学は学費が高い。	私立	私立[しりつ]の 大学[だいがく]は 学費[がくひ]が 高[たか]い。	
V0000332676	娘は市立の学校に通っています。	市立	娘[むすめ]は 市立[しりつ]の 学校[がっこう]に 通[かよ]っています。	
V0000332677	彼は県立の高校に通っているよ。	県立	彼[かれ]は 県立[けんりつ]の 高校[こうこう]に 通[かよ]っているよ。	
V0000332678	丸いボタンを押すとシャッターが閉まります。	シャッター	丸[まる]いボタンを 押[お]すとシャッターが 閉[し]まります。	
V0000332679	新しい国立劇場が完成しました。	国立	新[あたら]しい 国立[こくりつ] 劇場[げきじょう]が 完成[かんせい]しました。	
V0000332680	飛行機の座席はゆったりしていたよ。	座席	飛行機[ひこうき]の 座席[ざせき]はゆったりしていたよ。	
V0000332681	私たちは客席に座ったんだ。	客席	私[わたし]たちは 客席[きゃくせき]に 座[すわ]ったんだ。	
V0000332682	欠点のない人間はいません。	欠点	欠点[けってん]のない 人間[にんげん]はいません。	
V0000332683	お気に入りのカップが欠けてしまいました。	欠ける	お 気[き]に 入[い]りのカップが 欠[か]けてしまいました。	
V0000332684	彼の態度は誠意を欠いています。	欠く	彼[かれ]の 態度[たいど]は 誠意[せいい]を 欠[か]いています。	
V0000332685	次回の会議は2週間後に行います。	次回	次回[じかい]の 会議[かいぎ]は 2週間後[に しゅうかん ご]に 行[おこな]います。	
V0000332686	会計士に資金運用について相談したよ。	運用	会計士[かいけいし]に 資金[しきん] 運用[うんよう]について 相談[そうだん]したよ。	
V0000332687	このスピーカーは音がいいですね。	スピーカー	このスピーカーは 音[おと]がいいですね。	
V0000332688	その事業は国が運営しています。	運営	その 事業[じぎょう]は 国[くに]が 運営[うんえい]しています。	
V0000332689	鉄道の運賃が値上げされたね。	運賃	鉄道[てつどう]の 運賃[うんちん]が 値上[ねあ]げされたね。	
V0000332690	彼は運のいい男です。	運	彼[かれ]は 運[うん]のいい 男[おとこ]です。	
V0000332691	彼は運送会社に勤めているの。	運送	彼[かれ]は 運送[うんそう] 会社[がいしゃ]に 勤[つと]めているの。	
V0000332692	彼はボールに回転を掛けたんだ。	回転	彼[かれ]はボールに 回転[かいてん]を 掛[か]けたんだ。	
V0000332693	猫は砂の上で転がったんだ。	転がる	猫[ねこ]は 砂[すな]の 上[うえ]で 転[ころ]がったんだ。	
V0000332694	まず、肉をパン粉の上で転がします。	転がす	まず、 肉[にく]をパン 粉[こ]の 上[うえ]で 転[ころ]がします。	
V0000332695	以前、セールスマンをしていたことがあります。	セールスマン	以前[いぜん]、セールスマンをしていたことがあります。	
V0000332696	彼の会社は移転したよ。	移転	彼[かれ]の 会社[かいしゃ]は 移転[いてん]したよ。	
V0000332697	私たちはレンタカーで移動しました。	移動	私[わたし]たちはレンタカーで 移動[いどう]しました。	
V0000332698	彼の行動は理解できない。	行動	彼[かれ]の 行動[こうどう]は 理解[りかい]できない。	
V0000332699	運動会で一位になったよ。	運動会	運動会[うんどうかい]で 一位[いちい]になったよ。	
V0000332700	運動場でサッカーをしよう。	運動場	運動場[うんどうじょう]でサッカーをしよう。	
V0000332701	運動場でサッカーをしよう。	運動場	運動場[うんどうじょう]でサッカーをしよう。	
V0000332702	高速バスで東京に行ったんだ。	高速	高速[こうそく]バスで 東京[とうきょう]に 行[い]ったんだ。	
V0000332703	彼女たちはおしゃべりに夢中です。	おしゃべり	彼女[かのじょ]たちはおしゃべりに 夢中[むちゅう]です。	
V0000332704	あの国の経済は急速に発展しているのね。	急速	あの 国[くに]の 経済[けいざい]は 急速[きゅうそく]に 発展[はってん]しているのね。	
V0000332705	高速道路は混んでたよ。	高速道路	高速道路[こうそく どうろ]は 混[こ]んでたよ。	
V0000332706	では早速書類をお送りします。	早速	では 早速[さっそく] 書類[しょるい]をお 送[おく]りします。	
V0000332707	新幹線の最高時速は300キロです。	時速	新幹線[しんかんせん]の 最高[さいこう] 時速[じそく]は 300[さんびゃく]キロです。	
V0000332708	久しぶりに全速力で走りました。	全速力	久[ひさ]しぶりに 全速力[ぜんそくりょく]で 走[はし]りました。	
V0000332709	電車が10分遅れで到着したんだ。	遅れ	電車[でんしゃ]が 10分[じゅっ ぷん] 遅[おく]れで 到着[とうちゃく]したんだ。	
V0000332710	私たちは出発を1日遅らしたの。	遅らす	私[わたし]たちは 出発[しゅっぱつ]を 1日[いちにち] 遅[おく]らしたの。	
V0000332711	カラオケで思い切り歌ったの。	カラオケ	カラオケで 思[おも]い 切[き]り 歌[うた]ったの。	
V0000332712	やっと宿題を終えた。	終える	やっと 宿題[しゅくだい]を 終[お]えた。	
V0000332713	東京行きの最終電車は何時ですか。	最終	東京行[とうきょうゆ]きの 最終[さいしゅう] 電車[でんしゃ]は 何時[なんじ]ですか。	
V0000332714	電車の終点で降りました。	終点	電車[でんしゃ]の 終点[しゅうてん]で 降[お]りました。	
V0000332715	その部屋は始終、人が出入りしているね。	始終	その 部屋[へや]は 始終[しじゅう]、 人[ひと]が 出入[でい]りしているね。	
V0000332716	終電にやっと間に合った。	終電	終電[しゅうでん]にやっと 間[ま]に 合[あ]った。	
V0000332717	現地の天気は雨です。	現地	現地[げんち]の 天気[てんき]は 雨[あめ]です。	
V0000332718	現代の科学の進歩には驚くよ。	現代	現代[げんだい]の 科学[かがく]の 進歩[しんぽ]には 驚[おどろ]くよ。	
V0000332719	代金は現金でお願いします。	現金	代金[だいきん]は 現金[げんきん]でお 願[ねが]いします。	
V0000332720	彼女はこっそりダイエットを始めたの。	こっそり	彼女[かのじょ]はこっそりダイエットを 始[はじ]めたの。	
V0000332721	雲の間から太陽が現れました。	現れる	雲[くも]の 間[あいだ]から 太陽[たいよう]が 現[あらわ]れました。	
V0000332722	事故現場には入れません。	現場	事故[じこ] 現場[げんば]には 入[はい]れません。	
V0000332723	ここには現住所を書いてください。	現住所	ここには 現住所[げんじゅうしょ]を 書[か]いてください。	
V0000332724	彼はようやく姿を現しましたね。	現す	彼[かれ]はようやく 姿[すがた]を 現[あらわ]しましたね。	
V0000332725	それは彼女の期待の現れです。	現れ	それは 彼女[かのじょ]の 期待[きたい]の 現[あらわ]れです。	
V0000332726	姉は大学に在学しています。	在学	姉[あね]は 大学[だいがく]に 在学[ざいがく]しています。	
V0000332727	現実は予想より厳しかった。	現実	現実[げんじつ]は 予想[よそう]より 厳[きび]しかった。	
V0000332728	私は毎日ジョギングをしています。	ジョギング	私[わたし]は 毎日[まいにち]ジョギングをしています。	
V0000332729	あれは実は私の勘違いでした。	実は	あれは 実[じつ]は 私[わたし]の 勘違[かんちが]いでした。	
V0000332730	これはとても実用的なサイトだね。	実用	これはとても 実用[じつよう] 的[てき]なサイトだね。	
V0000332731	二人の実力は互角です。	実力	二人[ふたり]の 実力[じつりょく]は 互角[ごかく]です。	
V0000332732	今日は料理の実習があった。	実習	今日[きょう]は 料理[りょうり]の 実習[じっしゅう]があった。	
V0000332733	何かの説明をする時は実物を使うとわかりやすいの。	実物	何[なに]かの 説明[せつめい]をする 時[とき]は 実物[じつぶつ]を 使[つか]うとわかりやすいの。	
V0000332734	昨日のコンサートは実に素晴らしかったよ。	実に	昨日[さくじつ]のコンサートは 実[じつ]に 素晴[すば]らしかったよ。	
V0000332735	夏休みを高原で過ごしました。	過ごす	夏休[なつやす]みを 高原[こうげん]で 過[す]ごしました。	
V0000332736	服を買うのにあれこれ迷いました。	あれこれ	服[ふく]を 買[か]うのにあれこれ 迷[まよ]いました。	
V0000332737	手術後の経過は順調です。	経過	手術後[しゅじゅつ ご]の 経過[けいか]は 順調[じゅんちょう]です。	
V0000332738	同じ過ちを繰り返さないことだ。	過ち	同[おな]じ 過[あやま]ちを 繰[く]り 返[かえ]さないことだ。	
V0000332739	去る者は追わず。	去る	去[さ]る 者[もの]は 追[お]わず。	
V0000332740	活発な意見が交されたの。	活発	活発[かっぱつ]な 意見[いけん]が 交[かわ]されたの。	
V0000332741	始発の電車に乗りました。	始発	始発[しはつ]の 電車[でんしゃ]に 乗[の]りました。	
V0000332742	私たちは万歳をして喜びを表しました。	表す	私[わたし]たちは 万歳[ばんざい]をして 喜[よろこ]びを 表[あらわ]しました。	
V0000332743	この気持ちをうまく言い表わせません。	言い表わす	この 気持[きも]ちをうまく 言[い]い 表[あら]わせません。	
V0000332744	その子は絵本が大好きです。	絵本	その 子[こ]は 絵本[えほん]が 大好[だいす]きです。	
V0000332745	家から駅までおよそ1キロあります。	およそ	家[いえ]から 駅[えき]までおよそ 1[いち]キロあります。	
V0000332746	雑音がひどくて声が聞こえません。	雑音	雑音[ざつおん]がひどくて 声[こえ]が 聞[き]こえません。	
V0000332747	廊下から大きな足音が聞こえた。	足音	廊下[ろうか]から 大[おお]きな 足音[あしおと]が 聞[き]こえた。	
V0000332748	この漢字の音読みは何ですか。	音読み	この 漢字[かんじ]の 音読[おんよ]みは 何[なん]ですか。	
V0000332749	名前は五十音順に並んでいます。	五十音	名前[なまえ]は 五十音[ごじゅうおん] 順[じゅん]に 並[なら]んでいます。	
V0000332750	将来は気楽な生活がしたいです。	気楽	将来[しょうらい]は 気楽[きらく]な 生活[せいかつ]がしたいです。	
V0000332751	秋は行楽にいい季節ですね。	行楽	秋[あき]は 行楽[こうらく]にいい 季節[きせつ]ですね。	
V0000332752	彼女は薬指に指輪をはめています。	薬指	彼女[かのじょ]は 薬指[くすりゆび]に 指輪[ゆびわ]をはめています。	
V0000332753	どのサークルに入るか迷っちゃった。	サークル	どのサークルに 入[はい]るか 迷[まよ]っちゃった。	
V0000332754	今日は食欲がありません。	食欲	今日[きょう]は 食欲[しょくよく]がありません。	
V0000332755	水面に月が映っているね。	映る	水面[みなも]に 月[つき]が 映[うつ]っているね。	
V0000332756	彼女は自分の姿を鏡に映したの。	映す	彼女[かのじょ]は 自分[じぶん]の 姿[すがた]を 鏡[かがみ]に 映[うつ]したの。	
V0000332757	独身者パーティーを企画した。	企画	独身者[どくしんしゃ]パーティーを 企画[きかく]した。	
V0000332758	この絵はスペインの画家が描きました。	画家	この 絵[え]はスペインの 画家[がか]が 描[か]きました。	
V0000332759	あそこの3区画は売り出し中です。	区画	あそこの 3[さん] 区画[くかく]は 売[う]り 出[だ]し 中[ちゅう]です。	
V0000332760	テレビの画面が明るすぎる。	画面	テレビの 画面[がめん]が 明[あか]るすぎる。	
V0000332761	キリストの母親の名前はマリアだ。	キリスト	キリストの 母親[ははおや]の 名前[なまえ]はマリアだ。	
V0000332762	地面に何か絵が描いてあるぞ。	地面	地面[じめん]に 何[なに]か 絵[え]が 描[か]いてあるぞ。	
V0000332763	湖の水面に小さく波が立っているな。	水面	湖[みずうみ]の 水面[すいめん]に 小[ちい]さく 波[なみ]が 立[た]っているな。	
V0000332764	外は一面の雪景色だったね。	一面	外[そと]は 一面[いちめん]の 雪景色[ゆきげしき]だったね。	
V0000332765	真実は一つです。	真実	真実[しんじつ]は 一[ひと]つです。	
V0000332766	彼は人生の真理を求めて旅に出た。	真理	彼[かれ]は 人生[じんせい]の 真理[しんり]を 求[もと]めて 旅[たび]に 出[で]た。	
V0000332767	あの寺の屋根は金色ですね。	金色	あの 寺[てら]の 屋根[やね]は 金色[きんいろ]ですね。	
V0000332768	書類は形式を守って作ってください。	形式	書類[しょるい]は 形式[けいしき]を 守[まも]って 作[つく]ってください。	
V0000332769	小型のスーツケースを買いました。	小型	小型[こがた]のスーツケースを 買[か]いました。	
V0000332770	そうあっさり言わないで。	あっさり	そうあっさり 言[い]わないで。	
V0000332771	新しい型のカメラを買いました。	型	新[あたら]しい 型[かた]のカメラを 買[か]いました。	
V0000332772	それは果物の一種です。	一種	それは 果物[くだもの]の 一種[いっしゅ]です。	
V0000332773	図書館には各種の雑誌が揃っています。	各種	図書館[としょかん]には 各種[かくしゅ]の 雑誌[ざっし]が 揃[そろ]っています。	
V0000332774	これは一種独特の味がするね。	一種	これは 一種[いっしゅ] 独特[どくとく]の 味[あじ]がするね。	
V0000332775	この国には様々な人種がいます。	人種	この 国[くに]には 様々[さまざま]な 人種[じんしゅ]がいます。	
V0000332776	その選手は2種目でメダルを取ったわ。	種目	その 選手[せんしゅ]は 2[に] 種目[しゅもく]でメダルを 取[と]ったわ。	
V0000332777	人類は2本の足で歩きます。	人類	人類[じんるい]は 2本[にほん]の 足[あし]で 歩[ある]きます。	
V0000332778	彼は朝から晩までせっせと働いたの。	せっせと	彼[かれ]は 朝[あさ]から 晩[ばん]までせっせと 働[はたら]いたの。	
V0000332779	書類を10枚コピーしました。	書類	書類[しょるい]を 10枚[じゅうまい]コピーしました。	
V0000332780	台風が接近していますね。	接近	台風[たいふう]が 接近[せっきん]していますね。	
V0000332781	それは間接的な原因の一つです。	間接	それは 間接[かんせつ] 的[てき]な 原因[げんいん]の 一[ひと]つです。	
V0000332782	子供が動物に接するのは良いことです。	接する	子供[こども]が 動物[どうぶつ]に 接[せっ]するのは 良[よ]いことです。	
V0000332783	この角度からは画面が見えにくいですね。	角度	この 角度[かくど]からは 画面[がめん]が 見[み]えにくいですね。	
V0000332784	この三角形の面積を出しなさい。	三角形	この 三角形[さんかくけい]の 面積[めんせき]を 出[だ]しなさい。	
V0000332785	この道は、ゆるい曲線を描いているよ。	曲線	この 道[みち]は、ゆるい 曲線[きょくせん]を 描[えが]いているよ。	
V0000332786	カタログを見て注文したんだ。	カタログ	カタログを 見[み]て 注文[ちゅうもん]したんだ。	
V0000332787	この曲は誰が作曲したのですか。	作曲	この 曲[きょく]は 誰[だれ]が 作曲[さっきょく]したのですか。	
V0000332788	私たちは共通の趣味を持っています。	共通	私[わたし]たちは 共通[きょうつう]の 趣味[しゅみ]を 持[も]っています。	
V0000332789	インドでは英語は共通語だよ。	共通語	インドでは 英語[えいご]は 共通語[きょうつうご]だよ。	
V0000332790	2社が共同で新製品を開発したんだ。	共同	2社[にしゃ]が 共同[きょうどう]で 新製品[しんせいひん]を 開発[かいはつ]したんだ。	
V0000332791	3社合同で新作の発表会を開きました。	合同	3社[さんしゃ] 合同[ごうどう]で 新作[しんさく]の 発表会[はっぴょうかい]を 開[ひら]きました。	
V0000332792	一同顔を見合わせました。	一同	一同[いちどう] 顔[かお]を 見合[みあ]わせました。	
V0000332793	以前彼はこの町に住んでいたんだ。	以前	以前[いぜん] 彼[かれ]はこの 町[まち]に 住[す]んでいたんだ。	
V0000332794	昨日の夜、ジャズを聴きに行きました。	ジャズ	昨日[きのう]の 夜[よる]、ジャズを 聴[き]きに 行[い]きました。	
V0000332795	数学が平均点以下だった。	以下	数学[すうがく]が 平均点[へいきんてん] 以下[いか]だった。	
V0000332796	夕方以降にお電話を下さい。	以降	夕方[ゆうがた] 以降[いこう]にお 電話[でんわ]を 下[くだ]さい。	
V0000332797	それ以来彼女に会ってない。	以来	それ 以来[いらい] 彼女[かのじょ]に 会[あ]ってない。	
V0000332798	すみません、以後気を付けます。	以後	すみません、 以後[いご] 気[き]を 付[つ]けます。	
V0000332799	親類の家に4年間下宿しました。	下宿	親類[しんるい]の 家[いえ]に 4年間[よねんかん] 下宿[げしゅく]しました。	
V0000332800	漢和辞典で漢字の意味を調べたの。	漢和	漢和[かんわ] 辞典[じてん]で 漢字[かんじ]の 意味[いみ]を 調[しら]べたの。	
V0000332801	英和辞書をよく使います。	英和	英和[えいわ] 辞書[じしょ]をよく 使[つか]います。	
V0000332802	私は西洋の建築に興味があります。	西洋	私[わたし]は 西洋[せいよう]の 建築[けんちく]に 興味[きょうみ]があります。	
V0000332803	ここにサインしてください。	サイン	ここにサインしてください。	
V0000332804	その昔航海士達は未踏の地を求め海洋に乗り出しました。	海洋	その 昔航海士達[むかし こうかいしたち]は 未踏[みとう]の 地[ち]を 求[もと]め 海洋[かいよう]に 乗[の]り 出[だ]しました。	
V0000332805	西洋人は正座が苦手よ。	西洋人	西洋人[せいようじん]は 正座[せいざ]が 苦手[にがて]よ。	
V0000332806	私の学校には制服がありません。	制服	私[わたし]の 学校[がっこう]には 制服[せいふく]がありません。	
V0000332807	雨の日は子供を室内で遊ばせます。	室内	雨[あめ]の 日[ひ]は 子供[こども]を 室内[しつない]で 遊[あそ]ばせます。	
V0000332808	池に鴨の親子がいます。	親子	池[いけ]に 鴨[かも]の 親子[おやこ]がいます。	
V0000332809	彼は幼い時に親類に預けられたんだ。	親類	彼[かれ]は 幼[おさな]い 時[とき]に 親類[しんるい]に 預[あず]けられたんだ。	
V0000332810	ハイキングは自然に親しむ良い機会ですよ。	親しむ	ハイキングは 自然[しぜん]に 親[した]しむ 良[い]い 機会[きかい]ですよ。	
V0000332811	彼は質問の答えをごまかしたね。	ごまかす	彼[かれ]は 質問[しつもん]の 答[こた]えをごまかしたね。	
V0000332812	ご親切は決して忘れません。	親切	ご 親切[しんせつ]は 決[けっ]して 忘[わす]れません。	
V0000332813	彼は私の親友です。	親友	彼[かれ]は 私[わたし]の 親友[しんゆう]です。	
V0000332814	親指を怪我しました。	親指	親指[おやゆび]を 怪我[けが]しました。	
V0000332815	彼には誰もが親しみを感じます。	親しみ	彼[かれ]には 誰[だれ]もが 親[した]しみを 感[かん]じます。	
V0000332816	ここの水族館にはイルカがいます。	水族館	ここの 水族館[すいぞくかん]にはイルカがいます。	
V0000332817	デパートの歳末大売出しが始まったよ。	歳末	デパートの 歳末[さいまつ] 大売出[おおうりだ]しが 始[はじ]まったよ。	
V0000332818	うちは3人姉妹です。	姉妹	うちは 3人[さんにん] 姉妹[しまい]です。	
V0000332819	彼女はインテリで、しかも美人ですね。	インテリ	彼女[かのじょ]はインテリで、しかも 美人[びじん]ですね。	
V0000332820	その事件は次第に忘れられていったのさ。	次第に	その 事件[じけん]は 次第[しだい]に 忘[わす]れられていったのさ。	
V0000332821	連絡があり次第出発します。	次第	連絡[れんらく]があり 次第[しだい] 出発[しゅっぱつ]します。	
V0000332822	大きく息を吸ってください。	息	大[おお]きく 息[いき]を 吸[す]ってください。	
V0000332823	休息をとることは大切です。	休息	休息[きゅうそく]をとることは 大切[たいせつ]です。	
V0000332824	この法律は消費者を守るためのものです。	消費者	この 法律[ほうりつ]は 消費者[しょうひしゃ]を 守[まも]るためのものです。	
V0000332825	彼は作家であり学者です。	学者	彼[かれ]は 作家[さっか]であり 学者[がくしゃ]です。	
V0000332826	正しい答は後者です。	後者	正[ただ]しい 答[こたえ]は 後者[こうしゃ]です。	
V0000332827	この本の作者は誰ですか。	作者	この 本[ほん]の 作者[さくしゃ]は 誰[だれ]ですか。	
V0000332828	彼はいちいち私に指図する。	いちいち	彼[かれ]はいちいち 私[わたし]に 指図[さしず]する。	
